,lang,feature,accuracy,permute,epoch,lang_train,init,num_samples
132,enfr,sonority,0.36877828054298645,0.0,10,en,none,11872
133,en,manner,0.5641025641025641,0.0,10,en,none,11872
134,fr,manner,0.4411764705882353,0.0,10,en,none,11872
135,enfr,manner,0.3981900452488688,0.0,10,en,none,11872
136,en,voicing,0.5882352941176471,0.0,10,en,none,11872
137,fr,voicing,0.0,0.0,10,en,none,11872
138,enfr,voicing,0.4852941176470588,0.0,10,en,none,11872
139,en,place,0.4583333333333333,0.0,10,en,none,11872
140,fr,place,0.10526315789473684,0.0,10,en,none,11872
141,enfr,place,0.2510964912280702,0.0,10,en,none,11872
142,enfr,lang,0.9863013698630136,0.0,10,en,none,11872
143,en,sonority,0.8461538461538461,0.0,11,en,none,14100
144,fr,sonority,0.38235294117647056,0.0,11,en,none,14100
145,enfr,sonority,0.36877828054298645,0.0,11,en,none,14100
146,en,manner,0.5897435897435898,0.0,11,en,none,14100
147,fr,manner,0.4411764705882353,0.0,11,en,none,14100
148,enfr,manner,0.3981900452488688,0.0,11,en,none,14100
149,en,voicing,0.7058823529411765,0.0,11,en,none,14100
150,fr,voicing,0.0,0.0,11,en,none,14100
151,enfr,voicing,0.4852941176470588,0.0,11,en,none,14100
152,en,place,0.4583333333333333,0.0,11,en,none,14100
153,fr,place,0.10526315789473684,0.0,11,en,none,14100
154,enfr,place,0.27192982456140347,0.0,11,en,none,14100
155,enfr,lang,0.9863013698630136,0.0,11,en,none,14100
156,en,sonority,0.8717948717948718,0.0,12,en,none,16652
157,fr,sonority,0.38235294117647056,0.0,12,en,none,16652
158,enfr,sonority,0.36877828054298645,0.0,12,en,none,16652
159,en,manner,0.6153846153846154,0.0,12,en,none,16652
160,fr,manner,0.4411764705882353,0.0,12,en,none,16652
161,enfr,manner,0.3981900452488688,0.0,12,en,none,16652
162,en,voicing,0.7647058823529411,0.0,12,en,none,16652
163,fr,voicing,0.0,0.0,12,en,none,16652
164,enfr,voicing,0.4852941176470588,0.0,12,en,none,16652
165,en,place,0.5,0.0,12,en,none,16652
166,fr,place,0.10526315789473684,0.0,12,en,none,16652
167,enfr,place,0.2510964912280702,0.0,12,en,none,16652
168,enfr,lang,0.9863013698630136,0.0,12,en,none,16652
169,en,sonority,0.8717948717948718,0.0,13,en,none,19576
170,fr,sonority,0.38235294117647056,0.0,13,en,none,19576
171,enfr,sonority,0.36877828054298645,0.0,13,en,none,19576
172,en,manner,0.6666666666666666,0.0,13,en,none,19576
173,fr,manner,0.4411764705882353,0.0,13,en,none,19576
174,enfr,manner,0.3981900452488688,0.0,13,en,none,19576
175,en,voicing,0.7647058823529411,0.0,13,en,none,19576
176,fr,voicing,0.0,0.0,13,en,none,19576
177,enfr,voicing,0.4852941176470588,0.0,13,en,none,19576
178,en,place,0.5,0.0,13,en,none,19576
179,fr,place,0.10526315789473684,0.0,13,en,none,19576
180,enfr,place,0.2510964912280702,0.0,13,en,none,19576
181,enfr,lang,0.9863013698630136,0.0,13,en,none,19576
182,en,sonority,0.8717948717948718,0.0,14,en,none,22925
183,fr,sonority,0.38235294117647056,0.0,14,en,none,22925
184,enfr,sonority,0.36877828054298645,0.0,14,en,none,22925
185,en,manner,0.6923076923076923,0.0,14,en,none,22925
186,fr,manner,0.4411764705882353,0.0,14,en,none,22925
187,enfr,manner,0.3981900452488688,0.0,14,en,none,22925
188,en,voicing,0.7647058823529411,0.0,14,en,none,22925
189,fr,voicing,0.0,0.0,14,en,none,22925
190,enfr,voicing,0.4852941176470588,0.0,14,en,none,22925
191,en,place,0.5416666666666666,0.0,14,en,none,22925
192,fr,place,0.10526315789473684,0.0,14,en,none,22925
193,enfr,place,0.2510964912280702,0.0,14,en,none,22925
194,enfr,lang,0.9863013698630136,0.0,14,en,none,22925
195,en,sonority,0.8717948717948718,0.0,15,en,none,26761
196,fr,sonority,0.38235294117647056,0.0,15,en,none,26761
197,enfr,sonority,0.36877828054298645,0.0,15,en,none,26761
198,en,manner,0.6923076923076923,0.0,15,en,none,26761
